DATE	NEGCODE	NAME	SECTOR	WEIGHT	FORWARDReturn
2017-09-28	HYPE3	Hypera S.A.	Healthcare	0.010065	0.06716886377903329
2017-09-28	ITSA4	Itaúsa - Investimentos Itaú S.A.	Financial	0.033778	0.03049907578558226
2017-09-28	ITUB4	Itaú Unibanco Holding S.A.	Financial	0.108072	0.01605397859469532
2017-09-28	JBSS3	JBS S.A.	Consumer Goods	0.011401	-0.06787878787878783
2017-09-28	KLBN11	Klabin S.A.	Basic Materials	0.007554	0.057891862370289586
2017-09-28	KROT3	Kroton Educacional S.A.	Services	0.022525	-0.04397905759162302
2017-09-28	RENT3	Localiza Rent a Car S.A.	Services	0.00842	0.017241379310344827
2017-09-28	LAME4	Lojas Americanas S.A.	Services	0.010216000000000001	-0.05125467164975979
2017-09-28	LREN3	Lojas Renner S.A.	Services	0.018491999999999998	0.020279920022850638
2017-09-28	MRFG3	Marfrig Global Foods S.A.	Consumer Goods	0.002465	0.02503912363067295
2017-09-28	MRVE3	MRV Engenharia e Participações S.A.	Industrial Goods	0.003281	0.01787043931496651
2017-09-28	MULT3	Multiplan Empreendimentos Imobiliários S.A.	Financial	0.00561	0.021497919556172144
2017-09-28	NATU3	Natura Cosméticos S.A.	Consumer Goods	0.0043630000000000006	0.033925686591276275
2017-09-28	PCAR4	Companhia Brasileira de Distribuição	Services	0.009603	0.06410256410256426
2017-09-28	PETR3	Petróleo Brasileiro S.A. - Petrobras	Basic Materials	0.032506	0.09365179132620984
2017-09-28	PETR4	Petróleo Brasileiro S.A. - Petrobras	Basic Materials	0.048365	0.11016949152542381
2017-09-28	QUAL3	Qualicorp S.A.	Healthcare	0.00718	-0.045280960174577105
2017-09-28	RADL3	Raia Drogasil S.A.	Healthcare	0.012583	0.061307901907356945
2017-09-28	SBSP3	Companhia de Saneamento Básico do Estado de São Paulo - SABESP	Utilities	0.009389	-0.06834201654918798
2017-09-28	SANB11	BCO Santander(Brasil) S.A.	Financial	0.009205999999999999	0.10073260073260074
2017-09-28	CSNA3	Companhia Siderúrgica Nacional	Basic Materials	0.004488	-0.0022026431718061203
2017-09-28	SUZB5	Suzano Papel e Celulose S.A.	Consumer Goods	0.006993	0.0974960042621205
2017-09-28	TAEE11	Transmissora Aliança de Energia Elétrica S.A.	Utilities	0.0035670000000000003	-0.05045871559633034
2017-09-28	VIVT4	Telefônica Brasil S.A.	Technology	0.017415	0.024079601990049767
2017-09-28	TIMP3	TIM Participações S.A.	Technology	0.007832	0.0556030795551754
2017-09-28	UGPA3	Ultrapar Participações S.A.	Basic Materials	0.025359	0.05696118691217395
2017-09-28	USIM5	Usinas Siderúrgicas de Minas Gerais S.A.	Basic Materials	0.003024	0.2028985507246378
2017-09-28	VALE3	Vale S.A.	Basic Materials	0.090439	0.025196850393700697
2017-09-28	WEGE3	WEG S.A.	Industrial Goods	0.010008	0.02419354838709685
2017-08-30	ABEV3	Ambev S.A.	Consumer Goods	0.07299	0.05935613682092554
2017-08-30	BBSE3	BB Seguridade Participações S.A.	Financial	0.01857	0.03896576839038603
2017-08-30	BVMF3	B3 S.A. - Brasil, Bolsa, Balcão	Financial	0.035750000000000004	0.04785330948121647
2017-08-30	BRML3	BR Malls Participações S.A.	Financial	0.00801	0.022058823529411818
2017-08-30	BBDC3	Banco Bradesco S.A.	Financial	0.01581	0.008274593931964327
2017-08-30	BBDC4	Banco Bradesco S.A.	Financial	0.08244	0.027043090638930276
2017-08-30	BRAP4	Bradespar S.A.	Financial	0.00407	-0.10317460317460318
2017-08-30	BBAS3	Banco do Brasil S.A.	Financial	0.03726	0.10779595765158805
2017-08-30	BRKM5	Braskem S.A.	Basic Materials	0.00836	0.0968497787034628
2017-08-30	BRFS3	BRF S.A.	Consumer Goods	0.028370000000000003	0.08936678614097973
2017-08-30	CCRO3	CCR S.A.	Industrial Goods	0.018269999999999998	0.004036908881199555
2017-08-30	CMIG4	Companhia Energética de Minas Gerais	Utilities	0.00681	-0.05957943925233642
2017-08-30	CIEL3	Cielo S.A.	Technology	0.02491	-0.040196516301920594
2017-08-30	CPLE6	Companhia Paranaense de Energia - COPEL	Utilities	0.00256	-0.031636863823933915
